Team, Date, PLCC, SROCC, KROCC, RMSE, Eligible
CENSEO,04/28,0.9802,0.9428,0.8020,0.2432,No
GVSP,04/19,0.9809,0.9472,0.8097,0.2389,Yes
TSQA,04/29,0.9831,0.9477,0.8127,0.2251,Yes
FMISZU,04.29,0.980,0.9471,0.8078,0.2441,Yes
SISSUIRE,04/29,0.9734,0.9372,0.7930,0.2812,Yes
XLX,04/29,0.9811,0.9351,0.7925,0.2373,Yes
IMCL,04/29,0.9810,0.9319,0.7895,0.2385,Yes
ETYB,04/29,0.9752,0.9300,0.7782,0.2718,Yes
ICDC,04/29,0.9676,0.9201,0.7627,0.3097,Yes
HDVT,04/29,0.9587,0.9171,0.7560,0.3492,Yes
SAKURA,04/29,0.9539,0.9042,0.7364,0.3684,Yes
RM3VQA,04/29,0.9288,0.8873,0.7079,0.4549,Yes
