Team, Date, PLCC, SROCC, KROCC, RMSE
GVSP,04/19,0.6900,0.6701,0.4714,0.1552
SISSUIRE,04/29,0.6388,0.6436,0.4592,0.1649
CENSEO,04/27,0.5924,0.6436,0.4426,0.1727
QA-FTE,04/29,0.6066,0.6399,0.4574,0.1704
FMISZU,04/29,0.6487,0.6291,0.4398,0.1632
IMCL,04/29,0.5115,0.5441,0.3693,0.1842
XLX,04/29,0.5348,0.5332,0.3697,0.1812
RM3VQA,04/29,0.5957,0.5205,0.3628,0.1722
ETYB,04/29,0.5033,0.4908,0.3393,0.1853
HDVT,04/29,0.5146,0.4733,0.3284,0.1838
ICDC,04/29,0.4787,0.4571,0.3227,0.1882
SAKURA,04/29,0.2634,0.2881,0.1895,0.2068
